=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.09 20:52:24 =~=~=~=~=~=~=~=~=~=~=~=
 = 52	 output = 12
sensor = 52	 output = 12
sensor = 50	 output = 12
sensor = 51	 output = 12
sensor = 53	 output = 13
senr = 52	 output = 12
sensor = 52	 output = 12
sensor = 50	 output = 12
sensor = 51	 output = 12
sensor = 53	 output = 13
senr = 52	 output = 12
sensor = 52	 output = 12
sensor = 50	 output = 12
sensor = 51	 output = 12
sensor = 53	 output = 13
sensensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 58	 output = 14
sensor = 59	 output = 14
sensor = 58	 output = 14
sensor = 58	 output = 14
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 58	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 55	 output = 13
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 55	 output = 13
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 58	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 56	 output = 13
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 55	 output = 13
sensor = 55	 output = 13
sensor = 54	 output = 13
sensor = 61	 output = 15
sensor = 62	 output = 15
sensor = 68	 output = 16
sensor = 70	 output = 17
sensor = 78	 output = 19
sensor = 84	 output = 20
sensor = 102	 output = 25
sensor = 106	 output = 26
sensor = 118	 output = 29
sensor = 120	 output = 29
sensor = 114	 output = 28
sensor = 118	 output = 29
sensor = 119	 output = 29
sensor = 109	 output = 27
sensor = 113	 output = 28
sensor = 121	 output = 30
sensor = 121	 output = 30
sensor = 130	 output = 32
sensor = 121	 output = 30
sensor = 131	 output = 32
sensor = 123	 output = 30
sensor = 136	 output = 33
sensor = 149	 output = 37
sensor = 130	 output = 32
sensor = 115	 output = 28
sensor = 113	 output = 28
sensor = 108	 output = 26
sensor = 105	 output = 26
sensor = 102	 output = 25
sensor = 97	 output = 24
sensor = 91	 output = 22
sensor = 102	 output = 25
sensor = 98	 output = 24
sensor = 96	 output = 23
sensor = 95	 output = 23
sensor = 96	 output = 23
sensor = 93	 output = 23
sensor = 86	 output = 21
sensor = 82	 output = 20
sensor = 84	 output = 20
sensor = 80	 output = 19
sensor = 77	 output = 19
sensor = 81	 output = 20
sensor = 81	 output = 20
sensor = 73	 output = 18
sensor = 84	 output = 20
sensor = 83	 output = 20
sensor = 89	 output = 22
sensor = 103	 output = 25
sensor = 115	 output = 28
sensor = 117	 output = 29
sensor = 100	 output = 24
sensor = 101	 output = 25
sensor = 96	 output = 23
sensor = 89	 output = 22
sensor = 91	 output = 22
sensor = 92	 output = 22
sensor = 98	 output = 24
sensor = 87	 output = 21
sensor = 79	 output = 19
sensor = 75	 output = 18
sensor = 68	 output = 16
sensor = 65	 output = 16
sensor = 62	 output = 15
sensor = 61	 output = 15
sensor = 64	 output = 15
sensor = 63	 output = 15
sensor = 62	 output = 15
sensor = 59	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 59	 output = 14
sensor = 61	 output = 15
sensor = 69	 output = 17
sensor = 78	 output = 19
sensor = 79	 output = 19
sensor = 79	 output = 19
sensor = 78	 output = 19
sensor = 75	 output = 18
sensor = 72	 output = 17
sensor = 68	 output = 16
sensor = 64	 output = 15
sensor = 60	 output = 14
sensor = 57	 output = 14
sensor = 55	 output = 13
sensor = 50	 output = 12
sensor = 50	 output = 12
sensor = 51	 output = 12
sensor = 52	 output = 12
sensor = 52	 output = 12
sensor = 63	 output = 15
sensor = 78	 output = 19
sensor = 84	 output = 20
sensor = 78	 output = 19
sensor = 83	 output = 20
sensor = 85	 output = 21
sensor = 84	 output = 20
sensor = 80	 output = 19
sensor = 76	 output = 18
sensor = 69	 output = 17
sensor = 64	 output = 15
sensor = 61	 output = 15
sensor = 58	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 58	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 57	 output = 14
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 56	 output = 13
sensor = 55	 output = 13
sensor = 56	 output = 13
sensor = 56	 output = 13
